code,name,industry,close_price,ytd_yoy,3m_smooth,6m_smooth,revenue_date
1101,台泥,水泥工業,22.5,3.452600734871658,6.453732285056835,10.02432096932913,2025-12-10
1102,亞泥,水泥工業,35.95,-4.721449409645517,-3.4939465038777033,-2.070059438826,2025-12-10
1103,嘉泥,水泥工業,14.2,1.3611670286459043,1.5067292421816447,2.580375868699542,2025-12-10
1104,環泥,水泥工業,30.4,-0.5366046179404282,-0.5530743009667097,-1.531492421459128,2025-12-10
1108,幸福,水泥工業,14.95,-4.812355573026805,-3.3467819429550274,-1.456053969501945,2025-12-10
1109,信大,水泥工業,15.6,-8.596250609440625,-8.797141079967043,-10.74055020379331,2025-12-10
1110,東泥,水泥工業,16.5,1.69809132257972,3.9323926603033876,10.34100044806836,2025-12-10
1201,味全,食品工業,14.75,-5.73012822683423,-5.269317472184869,-4.813804587910003,2025-12-10
1203,味王,食品工業,39.8,-6.476838691570396,-4.843129149399335,-3.908653248704907,2025-12-10
1210,大成,食品工業,51.6,-1.4963930557387761,-1.4975026933349511,-1.365296906746642,2025-12-10
1213,大飲,食品工業,10.85,65.46350161092835,68.2578008276816,74.78151090893297,2025-12-10
1215,卜蜂,食品工業,136.5,0.6543735985635957,0.7520836493230801,0.8490366205944456,2025-12-10
1216,統一,食品工業,78.4,2.5369519833953857,2.8663143099655186,3.617923279371556,2025-12-10
1217,愛之味,食品工業,10.55,-0.8318293396799015,-0.37519128934598117,0.4467930671626616,2025-12-10
1218,泰山,食品工業,18.15,-6.470894662702131,-6.297753907760655,-6.253264587393319,2025-12-10
1219,福壽,食品工業,13.6,0.2702568558627716,0.5698953876879452,0.697465412262298,2025-12-10
1220,台榮,食品工業,12.55,-1.4982326512758326,-0.7341145830245116,-0.7352794201861851,2025-12-10
1225,福懋油,食品工業,29.5,-5.537817154603553,-4.80690252396239,-3.7063613870477954,2025-12-10
1227,佳格,食品工業,30.85,-0.5015255022573606,-0.2565668830613599,0.10765431944633012,2025-12-10
1229,聯華,食品工業,48.4,-2.0025577596899713,-3.602792404469485,-7.033951419153914,2025-12-10
1231,聯華食,食品工業,98.4,8.303247347788577,9.088573189962176,9.769541004543795,2025-12-10
1232,大統益,食品工業,145.0,-2.9512447670909325,-3.042158460550512,-3.536132916358836,2025-12-10
1233,天仁,食品工業,31.8,-1.8020251726220127,-1.7304196189431906,-2.1029387113836253,2025-12-10
1234,黑松,食品工業,37.8,-7.070901196618673,-7.198442839951358,-6.871971059021732,2025-12-10
1235,興泰,食品工業,47.5,53.62416165915176,51.12272411059613,50.828183269105246,2025-12-10
1236,宏亞,食品工業,25.6,-2.526022904610392,-0.9459734825068455,-1.8371711794196919,2025-12-10
1256,鮮活果汁-KY,食品工業,137.5,-2.5156529378684733,-3.73088257948994,-6.518520068876881,2025-12-10
1301,台塑,塑膠工業,40.0,-10.609559528674328,-9.380162718340749,-7.780936796282109,2025-12-10
1303,南亞,塑膠工業,59.9,1.9064057548322522,2.59129189114162,3.762612116888349,2025-12-10
1304,台聚,塑膠工業,11.05,-12.284667730895027,-11.100064358903326,-9.744625422505392,2025-12-10
1305,華夏,塑膠工業,11.15,-18.02499983933039,-16.443437191140617,-16.205430417957682,2025-12-10
1307,三芳,塑膠工業,33.7,0.9200523735603872,1.1681453455698252,2.333367281137328,2025-12-10
1308,亞聚,塑膠工業,13.3,-4.911651573332632,-4.413339813969973,-6.0539672016944985,2025-12-10
1309,台達化,塑膠工業,11.15,-18.675693889691093,-16.50612910876574,-12.500966519093998,2025-12-10
1310,台苯,塑膠工業,8.45,-18.8840173514188,-17.42579116079869,-15.480198785664621,2025-12-10
1312,國喬,塑膠工業,11.55,34.30677048587669,30.723274043817028,28.430089096410526,2025-12-10
1313,聯成,塑膠工業,10.45,-15.239685209604637,-14.890598657680913,-15.805510901017653,2025-12-10
1314,中石化,塑膠工業,7.91,-34.589679027927886,-33.850687364681534,-32.531488311597634,2025-12-10
1315,達新,塑膠工業,64.1,9.748114172268174,12.84328465727949,15.378577639121032,2025-12-10
1316,上曜,建材營造業,16.4,200.37014828140153,196.35844785698683,195.2318545679667,2025-12-10
1319,東陽,汽車工業,94.7,-0.925711989552469,-0.33069132741484725,1.734164336589944,2025-12-10
1321,大洋,塑膠工業,35.05,-21.582679085819155,-19.880496171559923,-18.26411066539445,2025-12-10
1323,永裕,塑膠工業,19.55,-27.139965536142274,-28.808981771327854,-30.791775541234873,2025-12-10
1324,地球,塑膠工業,10.5,-6.647612931932412,-5.546185627666607,-5.540284511273231,2025-12-10
1325,恆大,塑膠工業,31.1,-11.94849307190482,-11.978373679200073,-11.896172871123488,2025-12-10
1326,台化,塑膠工業,32.3,-16.46483798115691,-16.03719856822909,-15.492430323061832,2025-12-10
1337,再生-KY,塑膠工業,4.9,-17.16902177209049,-16.925812537382168,-17.853342174256387,2025-12-10
1338,廣華-KY,汽車工業,20.35,5.291881892430728,5.6792051172259645,4.622707020380226,2025-12-10
1339,昭輝,汽車工業,44.3,-10.231506875224605,-8.454734388531456,-5.836461898891301,2025-12-10
1340,勝悅-KY,塑膠工業,7.34,-52.91863783868319,-49.74779024896261,-43.93060007368532,2025-12-10
1341,富林-KY,塑膠工業,58.4,-5.873667953667949,-4.616981807357427,-3.452537833026355,2025-12-10
1342,八貫,其他業,87.9,12.929768435734946,13.627769896905063,15.324266486894844,2025-12-10
1402,遠東新,紡織纖維,28.25,-5.277389405435962,-5.4074287494110616,-5.351044326136031,2025-12-10
1409,新纖,紡織纖維,15.4,-8.521414622441226,-7.680780363565628,-6.494962639483956,2025-12-10
