"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="0050","元大台灣50","市","11/19","60.05","-0.4","-0.66","","","1,456","8,741","22.4","22.4","有","有","有","","","","國內成分股ETF","劉宗聖","陳沛宇"
="0051","元大中型100","市","11/19","88.45","-0.2","-0.23","","","2.3","20.3","19.2","19.2","","","","","","","國內成分股ETF","劉宗聖","陳沛宇"
="0053","元大電子","市","11/19","131.6","-1.1","-0.83","","","0.5","6.56","18.4","18.3","","","","","","","國內成分股ETF","劉宗聖","陳沛宇"
="0055","元大MSCI金融","市","11/19","30.22","-0.16","-0.53","","","8.07","24.4","18.4","18.3","","","","","","","國內成分股ETF","劉宗聖","陳沛宇"
="0056","元大高股息","市","11/19","34.74","-0.26","-0.74","","","1,392","4,837","17.9","17.9","有","","有","","","","國內成分股ETF","劉宗聖","陳沛宇"
="0057","富邦摩台","市","11/19","175.55","-1.15","-0.65","","","0.15","2.68","17.8","17.7","","","","","","","國內成分股ETF","黃昭棠","呂其倫"
="0061","元大寶滬深","市","11/19","22.25","+0.07","+0.32","","","12.61","28.1","16.3","16.3","","","有","","","","國外成分股ETF","劉宗聖","陳沛宇"
="006203","元大MSCI台灣","市","11/19","109.05","-0.55","-0.5","","","1.02","11.1","14.6","14.5","","","","","","","國內成分股ETF","劉宗聖","陳沛宇"
="006204","永豐臺灣加權","市","11/19","134.6","-1.75","-1.28","","","0.15","2.02","14.2","14.1","","","","","","","國內成分股ETF","陳思寬","濮樂偉"
="006205","富邦上証","市","11/19","38.1","-0.05","-0.13","","","12.14","46.3","14.2","14.2","有","有","有","","","","國外成分股ETF","黃昭棠","呂其倫"
="006206","元大上證50","市","11/19","35.76","+0.12","+0.34","","","3.53","12.6","13.6","13.5","有","有","有","","","","國外成分股ETF","劉宗聖","陳沛宇"
="006207","復華滬深","市","11/19","29.46","0","0","","","2.69","7.92","13.5","13.4","","","","","","","國外成分股ETF","杜俊雄","張偉智"
="006208","富邦台50","市","11/19","137.3","-0.95","-0.69","","","190.6","2,617","13.4","13.3","","","有","","","","國內成分股ETF","黃昭棠","呂其倫"
"00625K","富邦上証+R","市","11/19","8.81","0","0","","","0.03","0.03","9.3","9.28","","","","","","","國外成分股ETF","黃昭棠","呂其倫"
"00631L","元大台灣50正2","市","11/19","310.85","-4.05","-1.29","","","11.16","347","11.1","11.1","","","有","","","","槓桿及反向型ETF","劉宗聖","陳沛宇"
"00632R","元大台灣50反1","市","11/19","17.89","+0.11","+0.62","","","195","349","11.1","11.1","","","有","","","","槓桿及反向型ETF","劉宗聖","陳沛宇"
"00633L","富邦上証正2","市","11/19","49.33","+0.45","+0.92","","","18.65","92","11","11","","","有","","","","槓桿及反向型ETF","黃昭棠","呂其倫"
"00634R","富邦上証反1","市","11/19","3.26","-0.01","-0.31","","","4.73","1.54","11","11","","","","","","","槓桿及反向型ETF","黃昭棠","呂其倫"
"00635U","期元大S&P黃金","市","11/19","44.06","+0.84","+1.94","","","24.85","109","10.6","10.6","","","有","","","","期貨ETF","劉宗聖","陳沛宇"
="00636","國泰中國A50","市","11/19","26.3","+0.13","+0.5","","","15.03","39.5","10.7","10.6","有","有","有","","","","國外成分股ETF","張錫","張雍川"
"00636K","國泰中國A50+U","市","11/19","8.49","+0.07","+0.83","","","0.01","0.01","8.1","8.07","","","","","","","國外成分股ETF","張錫","張雍川"
"00637L","元大滬深300正2","市","11/19","20.2","+0.26","+1.3","","","122.4","247","10.5","10.5","","","有","","","","槓桿及反向型ETF","劉宗聖","陳沛宇"
"00638R","元大滬深300反1","市","11/19","6.91","-0.02","-0.29","","","3.39","2.35","10.5","10.5","","","有","","","","槓桿及反向型ETF","劉宗聖","陳沛宇"
="00639","富邦深100","市","11/19","14.5","-0.03","-0.21","","","15.19","22","10.5","10.5","有","有","有","","","","國外成分股ETF","黃昭棠","呂其倫"
"00640L","富邦日本正2","市","11/19","70.85","-0.4","-0.56","","","1.09","7.74","10.2","10.2","","","有","","","","槓桿及反向型ETF","黃昭棠","呂其倫"
"00641R","富邦日本反1","市","11/19","4.83","+0.01","+0.21","","","6.73","3.25","10.2","10.2","","","有","","","","槓桿及反向型ETF","黃昭棠","呂其倫"
"00642U","期元大S&P石油","市","11/19","15.77","+0.27","+1.74","","","19.73","31.1","10.2","10.2","","","有","","","","期貨ETF","劉宗聖","陳沛宇"
="00643","群益深証中小","市","11/19","15.94","-0.1","-0.62","","","10.16","16.2","10","9.97","有","有","有","","","","國外成分股ETF","賴政昇","陳明輝"
"00643K","群益深証中小+R","市","11/19","3.7","0","0","","","0.01","0","10","9.23","","","","","","","國外成分股ETF","賴政昇","陳明輝"
="00645","富邦日本","市","11/19","45.42","-0.18","-0.39","","","5.05","22.9","10.1","10","","","","","","","國外成分股ETF","黃昭棠","呂其倫"
="00646","元大S&P500","市","11/19","64.65","-0.4","-0.61","","","47.7","308","10","9.94","","","有","","","","國外成分股ETF","劉宗聖","陳沛宇"
"00647L","元大S&P500正2","市","11/19","109.1","-0.9","-0.82","","","0.74","8.09","10","9.94","","","有","","","","槓桿及反向型ETF","劉宗聖","陳沛宇"
"00648R","元大S&P500反1","市","11/19","4.5","+0.02","+0.45","","","17.22","7.75","10","9.94","","","有","","","","槓桿及反向型ETF","劉宗聖","陳沛宇"
"00650L","復華香港正2","市","11/19","17.65","-0.21","-1.18","","","14.48","25.6","9.9","9.81","","","有","","","","槓桿及反向型ETF","杜俊雄","張偉智"
"00651R","復華香港反1","市","11/19","5.33","+0.05","+0.95","","","3.67","1.96","9.9","9.81","","","有","","","","槓桿及反向型ETF","杜俊雄","張偉智"
="00652","富邦印度","市","11/19","37.43","+0.09","+0.24","","","9.55","35.8","9.7","9.65","","","","","","","國外成分股ETF","黃昭棠","呂其倫"
"00653L","富邦印度正2","市","11/19","58.5","+0.25","+0.43","","","1.79","10.5","9.7","9.65","","","","","","","槓桿及反向型ETF","黃昭棠","呂其倫"
"00654R","富邦印度反1","市","11/19","6.23","-0.02","-0.32","","","2.05","1.28","9.7","9.65","","","","","","","槓桿及反向型ETF","黃昭棠","呂其倫"
"00655L","國泰中國A50正2","市","11/19","34.44","+0.41","+1.2","","","9.8","33.7","9.7","9.68","","","有","","","","槓桿及反向型ETF","張錫","張雍川"
"00656R","國泰中國A50反1","市","11/19","6.09","-0.05","-0.81","","","2.04","1.24","9.7","9.68","","","","","","","槓桿及反向型ETF","張錫","張雍川"
="00657","國泰日經225","市","11/19","57.2","-0.55","-0.95","","","0.71","4.05","9.6","9.53","","","","","","","國外成分股ETF","張錫","張雍川"
"00657K","國泰日經225+U","市","11/19","18.37","-0.08","-0.43","","","0","0","8.1","8.07","","","","","","","國外成分股ETF","張錫","張雍川"
="00660","元大歐洲50","市","11/19","39.74","-0.39","-0.97","","","0.75","2.99","9.5","9.43","","","","","","","國外成分股ETF","劉宗聖","陳沛宇"
="00661","元大日經225","市","11/19","62.7","-0.4","-0.63","","","2.54","15.9","9.5","9.43","","","","","","","國外成分股ETF","劉宗聖","陳沛宇"
="00662","富邦NASDAQ","市","11/19","98.1","-0.9","-0.91","","","59.5","584","9.5","9.43","","","","","","","國外成分股ETF","黃昭棠","呂其倫"
"00663L","國泰臺灣加權正2","市","11/19","40.61","-0.54","-1.31","","","10.32","41.9","9.4","9.35","","","有","","","","槓桿及反向型ETF","張錫","張雍川"
"00664R","國泰臺灣加權反1","市","11/19","2.89","+0.01","+0.35","","","74.86","21.6","9.4","9.35","","","有","","","","槓桿及反向型ETF","張錫","張雍川"
"00665L","富邦恒生國企正2","市","11/19","11.25","-0.13","-1.14","","","46.1","51.9","9.3","9.29","","","有","","","","槓桿及反向型ETF","黃昭棠","呂其倫"
"00666R","富邦恒生國企反1","市","11/19","8.71","+0.05","+0.58","","","1.51","1.32","9.3","9.29","","","","","","","槓桿及反向型ETF","黃昭棠","呂其倫"
="00668","國泰美國道瓊","市","11/19","52.35","-0.4","-0.76","","","1.3","6.82","9.1","9.09","","","有","","","","國外成分股ETF","張錫","張雍川"
"00668K","國泰美國道瓊+U","市","11/19","16.8","-0.19","-1.12","","","0","0","8.1","8.07","","","","","","","國外成分股ETF","張錫","張雍川"
"00669R","國泰美國道瓊反1","市","11/19","5.93","+0.02","+0.34","","","22.31","13.2","9.1","9.09","","","有","","","","槓桿及反向型ETF","張錫","張雍川"
"00670L","富邦NASDAQ正2","市","11/19","152.9","-2.7","-1.74","","","7.96","122","8.8","8.74","","","有","","","","槓桿及反向型ETF","黃昭棠","呂其倫"
"00671R","富邦NASDAQ反1","市","11/19","2.96","+0.02","+0.68","","","64.84","19.2","9.8","8.74","","","","","","","槓桿及反向型ETF","黃昭棠","呂其倫"
"00673R","期元大S&P原油反1","市","11/19","27.35","-0.43","-1.55","","","8.96","24.5","9.1","9.12","","","有","","","","槓桿及反向型期貨ETF","劉宗聖","陳沛宇"
"00674R","期元大S&P黃金反1","市","11/19","6.21","-0.13","-2.05","","","8.91","5.53","9.1","9.12","","","有","","","","槓桿及反向型期貨ETF","劉宗聖","陳沛宇"
"00675L","富邦臺灣加權正2","市","11/19","123.45","-1.75","-1.4","","","11.83","146","9.2","9.12","","","","","","","槓桿及反向型ETF","黃昭棠","陳世宗"
"00676R","富邦臺灣加權反1","市","11/19","9.83","+0.05","+0.51","","","12.58","12.4","9.2","9.12","","","有","","","","槓桿及反向型ETF","黃昭棠","呂其倫"
="00678","群益那斯達克生技","市","11/19","34.02","+0.49","+1.46","","","0.84","2.87","8.9","8.84","","","","","","","國外成分股ETF","賴政昇","陳明輝"
"00680L","元大美債20正2","市","11/19","7.44","-0.04","-0.53","","","324.4","241","8.9","8.84","","","有","","","","槓桿及反向型ETF","劉宗聖","陳沛宇"
"00681R","元大美債20反1","市","11/19","20.51","+0.01","+0.05","","","0.76","1.56","8.9","8.84","","","有","","","","槓桿及反向型ETF","劉宗聖","陳沛宇"
"00682U","期元大美元指數","市","11/19","20.45","+0.05","+0.25","","","0.76","1.56","8.7","8.69","","","","","","","期貨ETF","劉宗聖","陳沛宇"
"00683L","期元大美元指正2","市","11/19","21.27","+0.09","+0.42","","","1.39","2.96","8.7","8.69","","","有","","","","槓桿及反向型期貨ETF","劉宗聖","陳沛宇"
"00684R","期元大美元指反1","市","11/19","15.39","-0.04","-0.26","","","0.97","1.49","8.7","8.69","","","有","","","","槓桿及反向型期貨ETF","劉宗聖","陳沛宇"
"00685L","群益臺灣加權正2","市","11/19","110.65","-1.35","-1.21","","","2.46","27.3","8.7","8.64","","","有","","","","槓桿及反向型ETF","賴政昇","陳明輝"
"00686R","群益臺灣加權反1","市","11/19","1.76","+0.01","+0.57","","","14.38","2.53","8.7","8.64","","","","","","","槓桿及反向型ETF","賴政昇","陳明輝"
"00688L","國泰20年美債正2","市","11/19","7.44","-0.04","-0.53","","","140.7","105","8.6","8.6","","","有","","","","槓桿及反向型ETF","張錫","張雍川"
"00689R","國泰20年美債反1","市","11/19","21.26","+0.03","+0.14","","","0.69","1.46","8.6","8.6","","","","","","","槓桿及反向型ETF","張錫","張雍川"
="00690","兆豐藍籌30","市","11/19","40.65","-0.29","-0.71","","","7.78","31.6","8.7","8.64","","","","","","","國內成分股ETF","陳佩君","NA"
="00692","富邦公司治理","市","11/19","53","-0.4","-0.75","","","66.93","355","8.5","8.51","","","","","","","國內成分股ETF","黃昭棠","呂其倫"
"00693U","期街口S&P黃豆","市","11/19","22.12","-0.1","-0.45","","","12.07","26.7","8.6","8.57","","","有","","","","期貨ETF","方詳棋","王皓正"
="00700","富邦恒生國企","市","11/19","18.37","-0.15","-0.81","","","5.75","10.6","8.3","8.31","","","","","","","國外成分股ETF","黃昭棠","呂其倫"
="00701","國泰股利精選30","市","11/19","27.1","-0.1","-0.37","","","22.49","60.9","8.3","8.26","","","","","","","國內成分股ETF","張錫","張雍川"
="00702","國泰標普低波高息","市","11/19","22.82","+0.06","+0.26","","","0.62","1.41","8.3","8.26","","","","","","","國外成分股ETF","張錫","張雍川"
="00703","台新MSCI中國","市","11/19","21.82","-0.36","-1.62","","","1.16","2.52","8.3","8.28","","","","","","","國外成分股ETF","吳光雄","葉柱均"
"00706L","期元大S&P日圓正2","市","11/19","21.02","-0.1","-0.47","","","20.58","43.3","8.2","8.22","","","有","","","","槓桿及反向型期貨ETF","劉宗聖","陳沛宇"
"00707R","期元大S&P日圓反1","市","11/19","30.72","0","0","","","0.59","1.8","8.2","8.22","","","","","","","槓桿及反向型期貨ETF","劉宗聖","陳沛宇"
"00708L","期元大S&P黃金正2","市","11/19","81.65","+2.9","+3.68","","","10.31","84.2","8.2","8.22","","","有","","","","槓桿及反向型期貨ETF","劉宗聖","陳沛宇"
="00709","富邦歐洲","市","11/19","34.39","-0.18","-0.52","","","1.7","5.83","8.3","8.27","","","","","","","國外成分股ETF","黃昭棠","呂其倫"
"00710B","復華彭博非投等債","市","11/19","18.79","0","0","","","20.58","38.7","8.3","8.25","","","","","","","債券ETF","杜俊雄","張偉智"
"00711B","復華彭博新興債","市","11/19","16.44","-0.02","-0.12","","","100.6","165","8.3","8.25","","","","","","","債券ETF","杜俊雄","張偉智"
="00712","復華富時不動產","市","11/19","8.8","+0.01","+0.11","","","504.5","444","8.3","8.25","","","有","","","","固定收益ETF","杜俊雄","張偉智"
="00713","元大台灣高息低波","市","11/19","49.62","-0.26","-0.52","","","271.5","1,347","8.2","8.15","","","","","","","國內成分股ETF","劉宗聖","陳沛宇"
="00714","群益道瓊美國地產","市","11/19","19.88","+0.08","+0.4","","","2.76","5.48","8.1","8.07","","","","","","","固定收益ETF","賴政昇","陳明輝"
"00715L","期街口布蘭特正2","市","11/19","10.72","+0.27","+2.58","","","102","109","8","8.01","","","有","","","","槓桿及反向型期貨ETF","方詳棋","王皓正"
="00717","富邦美國特別股","市","11/19","14.59","-0.03","-0.21","","","15.36","22.4","8","7.97","","","","","","","國外成分股ETF","黃昭棠","呂其倫"
="00728","第一金工業30","市","11/19","34.84","-0.21","-0.6","","","4.64","16.2","7.6","7.59","","","","","","","國內成分股ETF","尤昭文","廖文偉"
="00730","富邦臺灣優質高息","市","11/19","21.76","+0.18","+0.83","","","7.85","17.1","7.8","7.78","","","","","","","國內成分股ETF","黃昭棠","呂其倫"
="00731","復華富時高息低波","市","11/19","65.5","-0.05","-0.08","","","4.21","27.6","7.6","7.59","","","","","","","國內成分股ETF","杜俊雄","張偉智"
="00733","富邦臺灣中小","市","11/19","43.74","-0.32","-0.73","","","14.75","64.5","7.5","7.51","","","","","","","國內成分股ETF","黃昭棠","陳世宗"
="00735","國泰臺韓科技","市","11/19","46.41","-0.54","-1.15","","","0.98","4.54","7.5","7.44","","","","","","","國外成分股ETF","張錫","張雍川"
="00736","國泰新興市場","市","11/19","27.06","-0.06","-0.22","","","0.57","1.55","7.5","7.44","","","","","","","國外成分股ETF","張錫","張雍川"
="00737","國泰AI機器人","市","11/19","34.06","-0.33","-0.96","","","2.3","7.85","7.5","7.44","","","","","","","國外成分股ETF","張錫","張雍川"
"00738U","期元大道瓊白銀","市","11/19","42.41","+1.23","+2.99","","","14.83","62.9","7.5","7.47","","","有","","","","期貨ETF","劉宗聖","陳沛宇"
="00739","元大MSCI A股","市","11/19","25.45","+0.01","+0.04","","","2.95","7.5","7.4","7.4","","","","","","","國外成分股ETF","劉宗聖","陳沛宇"
="00752","中信中國50","市","11/19","26.45","-0.26","-0.97","","","30.37","80.3","7.1","7.06","","","有","","","","國外成分股ETF","陳金榮","陳正華"
"00753L","中信中國50正2","市","11/19","12.72","-0.19","-1.47","","","71.67","91.2","7.1","7.06","","","有","","","","槓桿及反向型ETF","陳金榮","陳正華"
="00757","統一FANG+","市","11/19","118.2","-1.25","-1.05","","","35.65","421","7","6.96","有","","有","","","","國外成分股ETF","鄧潤澤","董永寬"
="00762","元大全球AI","市","11/19","81.4","-0.85","-1.03","","","5.97","48.6","6.8","6.83","","","","","","","國外成分股ETF","劉宗聖","陳沛宇"
"00763U","期街口道瓊銅","市","11/19","27.71","+0.13","+0.47","","","4.56","12.6","6.9","6.92","","","有","","","","期貨ETF","方詳棋","王皓正"
="00770","國泰北美科技","市","11/19","54.85","-0.5","-0.9","","","7.9","43.3","6.8","6.81","","","","","","","國外成分股ETF","張錫","張雍川"
="00771","元大US高息特別股","市","11/19","16.08","-0.03","-0.19","","","1.52","2.45","6.6","6.52","","","","","","","國外成分股ETF","劉宗聖","陳沛宇"
"00775B","新光投等債15+","市","11/19","32.61","0","0","","","23.26","75.9","6.8","6.76","","","","","","","債券ETF","劉坤錫","陳文雄"
="00783","富邦中証500","市","11/19","23.93","-0.13","-0.54","","","1.05","2.52","6.7","6.65","","","","","","","國外成分股ETF","黃昭棠","呂其倫"
="00830","國泰費城半導體","市","11/19","52.75","-0.8","-1.49","","","50.65","267","6.6","6.55","","","有","","","","國外成分股ETF","張錫","張雍川"
="00850","元大臺灣ESG永續","市","11/19","52","-0.3","-0.57","","","46.14","240","6.3","6.24","","","","","","","國內成分股ETF","劉宗聖","陳沛宇"
="00851","台新全球AI","市","11/19","53.5","-1.1","-2.01","","","0.65","3.49","6.3","6.27","","","","","","","國外成分股ETF","吳光雄","葉柱均"
"00852L","國泰美國道瓊正2","市","11/19","28.12","-0.47","-1.64","","","0.89","2.49","6.3","6.25","","","有","","","","槓桿及反向型ETF","張錫","張雍川"
="00861","元大全球未來通訊","市","11/19","51.5","-0.45","-0.87","","","7.79","40.1","6","6","","","","","","","國外成分股ETF","劉宗聖","陳沛宇"
"00865B","國泰US短期公債","市","11/19","46.62","+0.04","+0.09","","","12.92","60.3","6","5.99","","","","","","","債券ETF","張錫","張雍川"
="00875","國泰網路資安","市","11/19","38.32","-0.24","-0.62","","","1.5","5.74","5.7","5.64","","","","","","","國外成分股ETF","張錫","張雍川"
="00876","元大全球5G","市","11/19","46.14","-0.63","-1.35","","","8.15","37.6","5.4","5.37","","","","","","","國外成分股ETF","劉宗聖","陳沛宇"
="00878","國泰永續高股息","市","11/19","20.26","-0.09","-0.44","","","2,132","4,320","5.4","5.34","有","","有","","","","國內成分股ETF","張錫","張雍川"
="00881","國泰台灣科技龍頭","市","11/19","29.7","-0.23","-0.77","","","235","698","5","4.94","","","","","","","國內成分股ETF","張錫","張雍川"
="00882","中信中國高股息","市","11/19","15.29","-0.01","-0.07","","","239.3","366","4.8","4.79","","","有","","","","國外成分股ETF","陳金榮","陳正華"
="00885","富邦越南","市","11/19","16.38","-0.01","-0.06","","","86.52","142","4.6","4.59","有","","有","","","","國外成分股ETF","黃昭棠","呂其倫"
="00891","中信關鍵半導體","市","11/19","17.75","-0.22","-1.22","","","123.1","219","4.5","4.48","","","","","","","國內成分股ETF","陳金榮","陳正華"
="00892","富邦台灣半導體","市","11/19","19.68","-0.26","-1.3","","","25.38","49.9","4.5","4.45","","","有","","","","國內成分股ETF","黃昭棠","呂其倫"
="00893","國泰智能電動車","市","11/19","31","-0.48","-1.52","","","42.09","130","4.4","4.39","有","","","","","","國外成分股ETF","張錫","張雍川"
="00894","中信小資高價30","市","11/19","25.05","-0.3","-1.18","","","12.85","32.2","4.3","4.27","","","","","","","國內成分股ETF","陳金榮","陳正華"
="00895","富邦未來車","市","11/19","36.84","-0.43","-1.15","","","17.49","64.4","4.3","4.27","","","有","","","","國外成分股ETF","黃昭棠","呂其倫"
="00896","中信綠能及電動車","市","11/19","18.65","-0.13","-0.69","","","22.19","41.4","4.2","4.18","","","","","","","國內成分股ETF","陳金榮","陳正華"
="00897","富邦基因免疫生技","市","11/19","8.56","+0.07","+0.82","","","18.6","15.9","4.2","4.13","","","","","","","國外成分股ETF","黃昭棠","呂其倫"
="00898","國泰基因免疫革命","市","11/19","7.43","+0.05","+0.68","","","19.6","14.6","4","3.99","","","","","","","國外成分股ETF","張錫","張雍川"
="00899","FT潔淨能源","市","11/19","19.73","-0.29","-1.45","","","2.21","4.37","3.9","3.83","","","","","","","國外成分股ETF","黃書明","王亞立"
="00900","富邦特選高股息30","市","11/19","12.92","-0.08","-0.62","","","273.5","353","3.9","3.91","","","","","","","國內成分股ETF","黃昭棠","呂其倫"
="00901","永豐智能車供應鏈","市","11/19","25.53","-0.38","-1.47","","","7.68","19.6","4","3.93","","","","","","","國內成分股ETF","陳思寬","濮樂偉"
="00902","中信電池及儲能","市","11/19","13.19","+0.03","+0.23","","","37.6","49.6","3.8","3.82","","","","","","","國外成分股ETF","陳金榮","陳正華"
="00903","富邦元宇宙","市","11/19","16.77","-0.2","-1.18","","","7.17","12","3.8","3.82","","","","","","","國外成分股ETF","黃昭棠","呂其倫"
="00904","新光臺灣半導體30","市","11/19","20.52","-0.24","-1.16","","","13.96","28.6","3.7","3.71","","","","","","","國內成分股ETF","劉坤錫","陳文雄"
="00905","FT臺灣Smart","市","11/19","16.07","-0.07","-0.43","","","38.38","61.7","3.6","3.58","","","","","","","國內成分股ETF","黃書明","王亞立"
="00907","永豐優息存股","市","11/19","15","+0.01","+0.07","","","20.61","30.9","3.5","3.49","","","","","","","國內成分股ETF","陳思寬","濮樂偉"
="00908","富邦入息REITs+","市","11/19","13.56","+0.06","+0.44","","","4.24","5.75","3.5","3.5","","","","","","","固定收益ETF","黃昭棠","呂其倫"
="00909","國泰數位支付服務","市","11/19","39.29","+0.42","+1.08","","","20.52","80.6","3.4","3.36","","","","","","","國外成分股ETF","張錫","張雍川"
="00910","第一金太空衛星","市","11/19","37.5","+0.35","+0.94","","","7.29","27.4","3.4","3.34","","","","","","","國外成分股ETF","尤昭文","廖文偉"
="00911","兆豐洲際半導體","市","11/19","30.07","-0.42","-1.38","","","1.94","5.83","3.4","3.4","","","","","","","國外成分股ETF","陳佩君","NA"
="00912","中信臺灣智慧50","市","11/19","19.97","-0.14","-0.7","","","5.73","11.4","3.4","3.39","","","","","","","國內成分股ETF","陳金榮","陳正華"
="00913","兆豐台灣晶圓製造","市","11/19","22.3","-0.32","-1.41","","","1.08","2.4","3.3","3.29","","","","","","","國內成分股ETF","陳佩君","NA"
="00915","凱基優選高股息30","市","11/19","21.6","-0.07","-0.32","","","111.2","240","3.3","3.28","","","","","","","國內成分股ETF","丁紹曾","張慈恩"
="00916","國泰全球品牌50","市","11/19","26.12","-0.21","-0.8","","","7.04","18.4","3.2","3.15","","","","","","","國外成分股ETF","張錫","張雍川"
="00917","中信特選金融","市","11/19","23.18","-0.08","-0.34","","","2.65","6.14","3.3","3.24","","","","","","","國外成分股ETF","陳金榮","陳正華"
="00918","大華優利高填息30","市","11/19","21.82","-0.05","-0.23","","","352.5","769","3","2.99","","","","","","","國內成分股ETF","張文傑","王政修"
="00919","群益台灣精選高息","市","11/19","21.16","-0.08","-0.38","","","1,874","3,964","3.1","3.09","有","","有","","","","國內成分股ETF","賴政昇","陳明輝"
="00920","富邦ESG綠色電力","市","11/19","17.63","-0.23","-1.29","","","1.18","2.08","3.1","3.09","","","","","","","國外成分股ETF","黃昭棠","呂其倫"
="00921","兆豐龍頭等權重","市","11/19","16.87","-0.07","-0.41","","","10.28","17.3","2.9","2.85","","","","","","","國內成分股ETF","陳佩君","NA"
="00922","國泰台灣領袖50","市","11/19","23.8","-0.2","-0.83","","","161.8","385","2.7","2.65","","","","","","","國內成分股ETF","張錫","張雍川"
="00923","群益台ESG低碳50","市","11/19","23.91","-0.12","-0.5","","","80.19","192","2.7","2.7","有","","","","","","國內成分股ETF","賴政昇","陳明輝"
="00924","復華S&P500成長","市","11/19","27.79","-0.21","-0.75","","","47.86","133","2.6","2.57","","","","","","","國外成分股ETF","杜俊雄","張偉智"
="00926","凱基全球菁英55","市","11/19","23.27","-0.15","-0.64","","","8.05","18.7","2.5","2.47","","","","","","","國外成分股ETF","丁紹曾","張慈恩"
="00927","群益半導體收益","市","11/19","19.72","-0.3","-1.5","","","49.34","97.3","2.5","2.46","","","","","","","國內成分股ETF","賴政昇","陳明輝"
="00929","復華台灣科技優息","市","11/19","17.36","-0.08","-0.46","","","738.4","1,282","2.5","2.45","有","","有","","","","國內成分股ETF","杜俊雄","張偉智"
="00930","永豐ESG低碳高息","市","11/19","16.78","-0.07","-0.42","","","28.53","47.9","2.4","2.36","","","","","","","國內成分股ETF","陳思寬","濮樂偉"
="00932","兆豐永續高息等權","市","11/19","13.83","-0.07","-0.5","","","25.93","35.9","2.2","2.22","","","","","","","國內成分股ETF","陳佩君","NA"
="00934","中信成長高股息","市","11/19","19.96","-0.15","-0.75","","","49.75","99.3","2.1","2.05","","","","","","","國內成分股ETF","陳金榮","陳正華"
="00935","野村臺灣新科技50","市","11/19","27.03","-0.21","-0.77","","","41.35","112","2.1","2.05","","","","","","","國內成分股ETF","毛昱文","黃宏治"
="00936","台新永續高息中小","市","11/19","15.17","-0.06","-0.39","","","63.08","95.7","2.1","2.03","","","","","","","國內成分股ETF","吳光雄","葉柱均"
="00938","凱基優選30","市","11/19","16.05","-0.08","-0.5","","","9.6","15.4","1.1","1.08","","","","","","","國內成分股ETF","丁紹曾","張慈恩"
="00939","統一台灣高息動能","市","11/19","13.6","-0.05","-0.37","","","215.2","293","1.7","1.67","","","","","","","國內成分股ETF","鄧潤澤","董永寬"
="00940","元大台灣價值高息","市","11/19","9.06","-0.06","-0.66","","","1,099","996","1.7","1.64","有","","","","","","國內成分股ETF","劉宗聖","陳沛宇"
="00941","中信上游半導體","市","11/19","15.91","-0.31","-1.91","","","59.68","94.9","1.7","1.68","","","","","","","國外成分股ETF","陳金榮","陳正華"
="00943","兆豐電子高息等權","市","11/19","14.03","-0.12","-0.85","","","5.29","7.42","1.5","1.5","","","","","","","國內成分股ETF","陳佩君","NA"
="00944","野村趨勢動能高息","市","11/19","13.78","-0.05","-0.36","","","11.91","16.4","1.6","1.53","","","","","","","國內成分股ETF","毛昱文","黃宏治"
"00945B","凱基美國非投等債","市","11/19","14.3","+0.02","+0.14","","","96.33","138","1.6","1.55","","","","","","","債券ETF","丁紹曾","張慈恩"
="00946","群益科技高息成長","市","11/19","9.66","-0.03","-0.31","","","69.77","67.4","1.6","1.53","","","","","","","國內成分股ETF","賴政昇","陳明輝"
="00947","台新臺灣IC設計","市","11/19","16.84","-0.23","-1.35","","","11.39","19.2","1.5","1.44","","","","","","","國內成分股ETF","吳光雄","葉柱均"
="00949","復華日本龍頭","市","11/19","17.74","-0.11","-0.62","","","21.54","38.2","1.4","1.39","","","","","","","國外成分股ETF","杜俊雄","張偉智"
="00951","台新日本半導體","市","11/19","10.36","-0.24","-2.26","","","19.2","19.9","1.3","1.32","","","","","","","國外成分股ETF","吳光雄","葉柱均"
="00952","凱基台灣AI50","市","11/19","11.27","-0.11","-0.97","","","24.88","28","1.2","1.21","","","","","","","國內成分股ETF","丁紹曾","張慈恩"
"00953B","群益優選非投等債","市","11/19","9.57","0","0","","","401.8","384","1.3","1.25","","","","","","","債券ETF","賴政昇","陳明輝"
="00954","中信日本半導體","市","11/19","11.03","-0.28","-2.48","","","6.97","7.69","1.3","1.25","","","","","","","國外成分股ETF","陳金榮","陳正華"
="00956","中信日經高股息","市","11/19","10.63","-0.02","-0.19","","","2.96","3.15","1.3","1.25","","","","","","","國外成分股ETF","陳金榮","陳正華"
="00960","野村全球航運龍頭","市","11/19","13.95","0","0","","","15.15","21.1","1.2","1.17","","","","","","","國外成分股ETF","毛昱文","黃宏治"
="00961","FT臺灣永續高息","市","11/19","9.28","-0.07","-0.75","","","26.85","24.9","1.1","1.1","","","","","","","國內成分股ETF","黃書明","王亞立"
="00962","台新AI優息動能","市","11/19","10.51","-0.09","-0.85","","","6.29","6.61","1","0.96","","","","","","","國內成分股ETF","吳光雄","葉柱均"
