"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="8443","阿瘦","市","11/19","11.65","0","0","10","6.68","6.68","7.78","22.2","11.2","","","","","","","貿易百貨業","羅榮岳","郭欣怡"
="8454","富邦媒","市","11/19","230.5","-0.5","-0.22","10","26.5","26.5","611","21.1","10.9","有","","","","","","數位雲端","蔡明忠","谷元宏"
="8462","柏文","市","11/19","156","+3.5","+2.3","10","7.93","7.93","124","20.1","9.7","","","","有","","","運動休閒","陳尚義","林洵賢"
="8463","潤泰材","市","11/19","25.5","-0.1","-0.39","10","15","15","38.2","33.2","10.4","","","","","","","其他業","莫惟瀚","林依潔"
="8464","億豐","市","11/19","361.5","-1.5","-0.41","10","29.3","29.3","1,059","18.3","9.91","","","有","","","","居家生活","粘耿豪","粘肇紘"
="8466","美吉吉-KY","市","11/19","22.95","+0.3","+1.32","10","7.98","7.98","18.3","15.1","9.05","","","","有","","","其他業","陳本源","吳建輝"
="8467","波力-KY","市","11/19","143.5","+3","+2.14","10","5.04","5.04","72.3","12.4","9.93","","","有","有","","","運動休閒","洪芳蘭","洪進山"
="8473","山林水","市","11/19","35.1","+0.25","+0.72","10","18.1","18.09","63.5","21.4","9.2","","","","有","有","","綠能環保","郭又綺","吳人傑"
="8476","台境*","市","11/19","18.2","+0.1","+0.55","5","8.31","16.62","30.3","21.9","8.65","","","","","","","綠能環保","郭人豪","林睿達"
="8478","東哥遊艇","市","11/19","185.5","-4.5","-2.37","10","9.4","9.4","174","47.8","7.94","","","有","有","","","運動休閒","闕慶承","曾雄威"
="8481","政伸","市","11/19","40.65","-0.25","-0.61","10","6.66","6.66","27.1","38.7","8.74","","","","","","","其他業","洪招儀","李煜培"
="8482","商億-KY","市","11/19","45.7","-0.2","-0.44","10","10.7","10.74","49.1","11.1","7.27","","","","","","","居家生活","謝智通","謝淑韞"
="8487","愛爾達-創","市","11/19","74.2","-1.8","-2.37","10","2.65","2.65","19.7","25.6","1.65","","","","","","","數位雲端","陳怡君","陳怡君"
="8488","吉源-KY","市","11/19","10.3","+0.2","+1.98","10","7.35","7.35","7.57","11.7","8.94","","","","有","","","其他業","林漢清","陳金龍"
="8499","鼎炫-KY","市","11/19","237","-2","-0.84","10","4.12","4.12","97.6","12","7.99","","","有","","","","其他電子業","傅青炫","傅秀月"
="8926","台汽電","市","11/19","41.1","+0.9","+2.24","10","73","73.03","300","33.5","25.5","","","","有","","","油電燃氣業","王振勇","陳意通"
="8940","新天地","市","11/19","20.35","+0.05","+0.25","10","6.75","6.75","13.7","32.3","22.8","","","","","","","觀光餐旅","王玉雲","歐敏雄"
="8996","高力","市","11/19","495","+27","+5.77","10","9.15","9.15","453","55.1","19.4","","","有","","","","電機機械","吳誌雄","王心五"
="9103","美德醫療-DR","市","11/19","4.55","-0.05","-1.09","0.05","8.27","20.55","9.35","28","22.9","","","有","","","","存託憑證","楊克誠","楊威遠"
="910322","康師傅-DR","市","11/19","23.85","-0.15","-0.62","0","9.17","2.31","5.51","31.9","15.9","","","","","","","存託憑證","魏宏名","魏宏名"
="9105","泰金寶-DR","市","11/19","5.85","-0.04","-0.68","1","93.8","165.5","96.8","36","22.2","","","有","","","","存託憑證","許介立","鄒孔訓"
="910861","神州-DR","市","11/19","5.81","+0.01","+0.17","0.1","6.45","3.35","1.95","24.8","15","","","","","","","存託憑證","郭為","郭為"
="9110","越南控-DR","市","11/19","3.03","0","0","0.01","0.38","5.45","1.65","20.4","16","","","","","","","存託憑證","劉武雄","吳睿蕎"
="911608","明輝-DR","市","11/19","2.9","+0.03","+1.05","","5.27","3.42","0.99","21.6","15.1","","","","","","","存託憑證","林翔寬","-"
="911622","泰聚亨-DR","市","11/19","3.8","-0.1","-2.56","7.5","37.1","3","1.14","29.2","14.1","","","","","","","存託憑證","黃文松","黃炳綸"
="911868","同方友友-DR","市","11/19","1.28","-0.03","-2.29","0.1","3.56","14","1.79","19.1","15.9","","","","","","","存託憑證","張園園","張園園"
